### Module positions - created on Thursday, September 29, 2016 'PMt' 08:13:46 PM ###
### Printed by Pcbnew version kicad 4.0.4-stable
## Unit = mm, Angle = deg.
## Side : top
# Ref     Val            Package                              PosX       PosY       Rot  Side
BT1, CR1220, S8201-46R, 70.0405, 28.8290, 90.0000, top
C1, 1 uF, C_0805, 15.4018, 0.9398, 180.0000, top
C2, 47 pF, C_0805, 12.4460, 8.1534, 0.0000, top
C3, 47 pF, C_0805, 12.1920, 2.4638, 0.0000, top
C4, 1 uF, C_0805, 29.0576, 1.3462, 90.0000, top
C5, 4.7 uF, C_0805, 26.9240, 1.3462, 90.0000, top
C6, 0.1 uF, C_0805, 72.7710, 47.8155, 0.0000, top
C7, 0.1 uF, C_0805, 15.2400, 13.4620, 0.0000, top
C8, 0.1 uF, C_0805, 61.8744, 45.2628, 270.0000, top
C9, 0.1 uF, C_0805, 19.7612, 10.6934, 90.0000, top
C10, 0.1 uF, C_0805, 65.5574, 39.4970, 180.0000, top
IC1, ATTINY2313A, S  SOIC-20_7.5x12.8mm_Pitch1.27mm, 53.8480, 40.5130, 0.0000, top
Q1, DMG9933USD, SOIC-8-N, 50.3555, 30.0990, 270.0000, top
Q2, DMG9933USD, SOIC-8-N, 34.6075, 42.8625, 180.0000, top
Q3, DMG9933USD, SOIC-8-N, 25.7810, 44.4500, 180.0000, top
R3, R27, R_0805, 12.3190, 6.3500, 0.0000, top
R4, R27, R_0805, 12.3190, 4.3180, 0.0000, top
R5, 1K, R_0805, 54.6735, 3.9370, 180.0000, top
R6, 2K, R_0805, 11.2395, 13.2715, 0.0000, top
R7, 1K, R_0805, 72.7710, 41.0845, 180.0000, top
R8, 1K, R_0805, 72.7710, 43.3705, 180.0000, top
R9, 1K, R_0805, 72.7710, 45.5930, 180.0000, top
SW1, SW_PUSH, SW_SPST_PTS645, 47.4345, 6.1595, 0.0000, top
U1, FT230XS, SSOP-16_3.9x4.9mm_Pitch0.635mm, 17.5895, 5.2705, 90.0000, top
U2, STP16CPC26, SOIC-24_7.5x15.4mm_Pitch1.27mm, 11.4300, 22.4790, 180.0000, top
U3, DS3231M, SOIC-8_3.9x4.9mm_Pitch1.27mm, 66.9290, 44.1960, 270.0000, top
## End
